question,answer
What is (are) Acne ?,"Acne is a common skin disease that causes pimples. Pimples form when hair follicles under your skin clog up. Most pimples form on the face, neck, back, chest, and shoulders. Anyone can get acne, but it is common in teenagers and young adults. It is not serious, but it can cause scars.    No one knows exactly what causes acne. Hormone changes, such as those during the teenage years and pregnancy, probably play a role. There are many myths about what causes acne. Chocolate and greasy foods are often blamed, but there is little evidence that foods have much effect on acne in most people. Another common myth is that dirty skin causes acne; however, blackheads and pimples are not caused by dirt. Stress doesn't cause acne, but stress can make it worse.    If you have acne       -  Clean your skin gently     -  Try not to touch your skin     -  Avoid the sun        Treatments for acne include medicines and creams.    NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases"
Do you have information about Anabolic Steroids,"Summary : Anabolic steroids are man-made substances related to male sex hormones. Doctors use anabolic steroids to treat some hormone problems in men, delayed puberty, and muscle loss from some diseases.    Bodybuilders and athletes often use anabolic steroids to build muscles and improve athletic performance. Using them this way is not legal or safe. Abuse of anabolic steroids has been linked with many health problems. They include       -  Acne    -  Breast growth and shrinking of testicles in men     - Voice deepening and growth of facial hair in women     - High blood pressure    - Heart problems, including heart attack    - Liver disease, including cancer    - Kidney damage    - Aggressive behavior        NIH: National Institute on Drug Abuse"
What is (are) Arthritis ?,"If you feel pain and stiffness in your body or have trouble moving around, you might have arthritis. Most kinds of arthritis cause pain and swelling in your joints. Joints are places where two bones meet, such as your elbow or knee. Over time, a swollen joint can become severely damaged. Some kinds of arthritis can also cause problems in your organs, such as your eyes or skin.    Types of arthritis include       - Osteoarthritis is the most common type of arthritis. It's often related to aging or to an injury.    - Autoimmune arthritis happens when your body's immune system attacks healthy cells in your body by mistake. Rheumatoid arthritis is the most common form of this kind of arthritis.    - Juvenile arthritis is a type of arthritis that happens in children.    - Infectious arthritis is an infection that has spread from another part of the body to the joint.    - Psoriatic arthritis affects people with psoriasis.    - Gout is a painful type of arthritis that happens when too much uric acid builds up in the body. It often starts in the big toe.       NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases"
What is (are) Eczema ?,"Eczema is a term for several different types of skin swelling. Eczema is also called dermatitis. Most types cause dry, itchy skin and rashes on the face, inside the elbows and behind the knees, and on the hands and feet. Scratching the skin can cause it to turn red, and to swell and itch even more.    Eczema is not contagious. The cause is not known. It is likely caused by both genetic and environmental factors. Eczema may get better or worse over time, but it is often a long-lasting disease. People who have it may also develop hay fever and asthma.    The most common type of eczema is atopic dermatitis. It is most common in babies and children but adults can have it too. As children who have atopic dermatitis grow older, this problem may get better or go away. But sometimes the skin may stay dry and get irritated easily.    Treatments may include medicines, skin creams, light therapy, and good skin care. You can prevent some types of eczema by avoiding       - Things that irritate your skin, such as certain soaps, fabrics, and lotions    - Stress    - Things you are allergic to, such as food, pollen, and animals       NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases"
What is (are) Food Allergy ?,"Food allergy is an abnormal response to a food triggered by your body's immune system.    In adults, the foods that most often trigger allergic reactions include fish, shellfish, peanuts, and tree nuts, such as walnuts. Problem foods for children can include eggs, milk, peanuts, tree nuts, soy, and wheat.    The allergic reaction may be mild. In rare cases it can cause a severe reaction called anaphylaxis. Symptoms of food allergy include       - Itching or swelling in your mouth    - Vomiting, diarrhea, or abdominal cramps and pain    - Hives or eczema    - Tightening of the throat and trouble breathing    - Drop in blood pressure       Your health care provider may use a detailed history, elimination diet, and skin and blood tests to diagnose a food allergy.    When you have food allergies, you must be prepared to treat an accidental exposure. Wear a medical alert bracelet or necklace, and carry an auto-injector device containing epinephrine (adrenaline).    You can only prevent the symptoms of food allergy by avoiding the food. After you and your health care provider have identified the foods to which you are sensitive, you must remove them from your diet.    NIH: National Institute of Allergy and Infectious Diseases"
What is (are) Hidradenitis Suppurativa ?,"Hidradenitis suppurativa (HS) is a chronic skin disease. It can occur in one or multiple areas of your body. HS usually develops in your armpits, groin, and anal area. It causes long-term skin inflammation and can be painful.     Symptoms include        - Blackheads and red, tender bumps, called abscesses. The abscesses get bigger, break open, and leak pus    - Tunnels that form under the skin between abscesses    - Scarring       No one knows what causes HS. It is more common in women, African Americans, and people who have had acne. It usually starts after the teenage years. Treatments include antibiotics, anti-inflammatory medicines, and sometimes surgery. Losing weight or wearing looser clothing may help some patients avoid skin irritation."
What is (are) Itching ?,"Itching is skin tingling or irritation that makes you want to scratch the itchy area. It's a symptom of many health conditions. Common causes are        -  Allergic reactions    -  Eczema    -  Dry skin    -  Insect bites and stings    -  Irritating chemicals    -  Parasites such as pinworms, scabies, head and body lice    -  Pregnancy    -  Rashes    -  Reactions to medicines       To soothe itchy skin, you can try cold compresses, lotions and lukewarm baths. Avoid scratching, wearing irritating fabrics and high heat and humidity. Most itching is not serious. However, if you itch all over, have hives that keep coming back or have itching without an apparent cause, you might require medical attention."
Do you have information about Plastic and Cosmetic Surgery,"Summary : Surgeons can reshape the appearance of body parts through cosmetic surgery. Some of the most common body parts people want to improve through surgery include       -  Breasts: Increase or reduce the size of breasts or reshape sagging breasts     -  Ears: Reduce the size of large ears or set protruding ears back closer to the head    -  Eyes: Correct drooping upper eyelids or remove puffy bags below the eyes    -  Face: Remove facial wrinkles, creases or acne scars    -  Hair: Fill in balding areas with one's own hair    -  Nose: Change the shape of the nose     -  Tummy: Flatten the abdomen"
What is (are) Polycystic Ovary Syndrome ?,"Polycystic ovary syndrome (PCOS) happens when a woman's ovaries or adrenal glands produce more male hormones than normal. One result is that cysts (fluid-filled sacs) develop on the ovaries. Women who are obese are more likely to have polycystic ovary syndrome.    Symptoms of PCOS include:      - Infertility    - Pelvic pain    - Excess hair growth on the face, chest, stomach, thumbs, or toes    - Baldness or thinning hair    - Acne, oily skin, or dandruff    - Patches of thickened dark brown or black skin          Women with PCOS are at higher risk of diabetes, metabolic syndrome, heart disease, and high blood pressure. Medicines can help control the symptoms. Birth control pills help women have normal periods, reduce male hormone levels, and clear acne. Other medicines can reduce hair growth and control blood pressure and cholesterol. There is no cure.    NIH: National Institute of Child Health and Human Development"
What is (are) Premenstrual Syndrome ?,"Premenstrual syndrome, or PMS, is a group of symptoms that start one to two weeks before your period. Most women have at least some symptoms of PMS, and the symptoms go away after their periods start. For some women, the symptoms are severe enough to interfere with their lives. They have a type of PMS called premenstrual dysphoric disorder, or PMDD.    Common PMS symptoms include       - Breast swelling and tenderness     - Acne    - Bloating and weight gain    - Pain - headache or joint pain    - Food cravings     - Irritability, mood swings, crying spells, depression        No one knows what causes PMS, but hormonal changes trigger the symptoms. No single PMS treatment works for everyone. Over-the-counter pain relievers such as ibuprofen, aspirin or naproxen may help ease cramps, headaches, backaches and breast tenderness. Exercising, getting enough sleep, and avoiding salt, caffeine, and alcohol can also help.    Dept. of Health and Human Services Office on Women's Health"
What is (are) Psoriasis ?,"Psoriasis is a skin disease that causes itchy or sore patches of thick, red skin with silvery scales. You usually get the patches on your elbows, knees, scalp, back, face, palms and feet, but they can show up on other parts of your body. Some people who have psoriasis also get a form of arthritis called psoriatic arthritis.    A problem with your immune system causes psoriasis. In a process called cell turnover, skin cells that grow deep in your skin rise to the surface. Normally, this takes a month. In psoriasis, it happens in just days because your cells rise too fast.     Psoriasis can be hard to diagnose because it can look like other skin diseases. Your doctor might need to look at a small skin sample under a microscope.    Psoriasis can last a long time, even a lifetime. Symptoms come and go. Things that make them worse include       - Infections    - Stress    - Dry skin    - Certain medicines       Psoriasis usually occurs in adults. It sometimes runs in families. Treatments include creams, medicines, and light therapy.    NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases"
What is (are) Psoriatic Arthritis ?,"Psoriasis is a skin disease that causes itchy or sore patches of thick, red skin with silvery scales. You usually get them on your elbows, knees, scalp, back, face, palms and feet, but they can show up on other parts of your body.    Some people with psoriasis have psoriatic arthritis. It causes pain, stiffness, and swelling of the joints. It is often mild, but can sometimes be serious and affect many joints. The joint and skin problems don't always happen at the same time.    Your doctor will do a physical exam and imaging tests to diagnose psoriatic arthritis. There is no cure, but medicines can help control inflammation and pain. In rare cases, you might need surgery to repair or replace damaged joints."
Do you have information about Puberty,"Summary : Puberty is the time in life when a boy or girl becomes sexually mature. It is a process that usually happens between ages 10 and 14 for girls and ages 12 and 16 for boys. It causes physical changes, and affects boys and girls differently.    In girls:       - The first sign of puberty is usually breast development.    - Then hair grows in the pubic area and armpits.    - Menstruation (or a period) usually happens last.       In boys:       - Puberty usually begins with the testicles and penis getting bigger.    - Then hair grows in the pubic area and armpits.    - Muscles grow, the voice deepens, and facial hair develops as puberty continues.       Both boys and girls may get acne. They also usually have a growth spurt (a rapid increase in height) that lasts for about 2 or 3 years. This brings them closer to their adult height, which they reach after puberty.     NIH: National Institute of Child Health and Human Development"
What is (are) Rosacea ?,"Rosacea is a long-term disease that affects your skin and sometimes your eyes. It causes redness and pimples. Rosacea is most common in women and people with fair skin. It most often affects middle-aged and older adults.    In most cases, rosacea only affects the face. Symptoms can include       - Frequent redness of the face, or flushing     - Small, red lines under the skin    - Acne    - A swollen nose    - Thick skin, usually on the forehead, chin, and cheeks     - Red, dry, itchy eyes and sometimes vision problems        No one knows what causes rosacea. You may be more likely to have it if you blush a lot or if rosacea runs in your family. Rosacea is not dangerous. There is no cure, but treatments can help. They include medicines and sometimes surgery.    NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases"
What is (are) Scars ?,"A scar is a permanent patch of skin that grows over a wound. It forms when your body heals itself after a cut, scrape, burn, or sore. You can also get scars from surgery that cuts through the skin, infections like chickenpox, or skin conditions like acne. Scars are often thicker, as well as pinker, redder, or shinier, than the rest of your skin.     How your scar looks depends on       - How big and deep your wound is    - Where it is     - How long it takes to heal     - Your age    - Your inherited tendency to scar       Scars usually fade over time but never go away completely. If the way a scar looks bothers you, various treatments might minimize it. These include surgical revision, dermabrasion, laser treatments, injections, chemical peels, and creams."
What is (are) Skin Conditions ?,"Your skin is your body's largest organ. It covers and protects your body. Your skin       - Holds body fluids in, preventing dehydration    - Keeps harmful microbes out, preventing infections    - Helps you feel things like heat, cold, and pain    - Keeps your body temperature even    - Makes vitamin D when the sun shines on it       Anything that irritates, clogs, or inflames your skin can cause symptoms such as redness, swelling, burning, and itching. Allergies, irritants, your genetic makeup, and certain diseases and immune system problems can cause rashes, hives, and other skin conditions. Many skin problems, such as acne, also affect your appearance.    NIH: National Institute of Arthritis and Musculoskeletal and Skin Diseases"
Do you have information about Steroids,"Summary : You may have heard of anabolic steroids, which can have harmful effects. But there's another type of steroid - sometimes called a corticosteroid - that treats a variety of problems. These steroids are similar to hormones that your adrenal glands make to fight stress associated with illnesses and injuries. They reduce inflammation and affect the immune system.     You may need to take corticosteroids to treat       -  Arthritis    -  Asthma    -  Autoimmune diseases such as lupus and multiple sclerosis    -  Skin conditions such as eczema and rashes    -  Some kinds of cancer       Steroids are strong medicines, and they can have side effects, including weakened bones and cataracts. Because of this, you usually take them for as short a time as possible."
